education_key,education_id,country,iso,year,"Primary completion rate, total (% of relevant age group)","School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, male (% gross)","Primary completion rate, male (% of relevant age group)","School enrollment, primary, female (% gross)","School enrollment, secondary, female (% gross)","Public spending on education, total (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary, male (% gross)","Primary completion rate, female (% of relevant age group)"
271,56,Mexico,MEX,2013,109.42504119873,30.3000392913818,93.3275527954102,90.7683868408203,108.938812255859,109.007751464844,95.9470520019531,4.69605016708374,109.441482543945,109.859748840332,109.926551818848
272,57,Mexico,MEX,2014,110.508842468262,31.0941390991211,97.3433837890625,94.6957931518555,110.251930236816,107.700401306152,100.053466796875,5.25747013092041,108.005752563477,108.299682617188,110.774291992188
273,58,Mexico,MEX,2015,104.909820556641,31.8190402984619,100.832740783691,97.6499176025391,104.805809020996,106.471862792969,104.093780517578,5.22942018508911,106.606109619141,106.735076904297,105.017532348633
274,59,Mexico,MEX,2016,103.969390869141,38.4333801269531,102.40406036377,98.7559204101563,103.924026489258,106.333168029785,106.149406433105,4.90681982040405,106.277732849121,106.224578857422,104.016471862793
275,60,Mexico,MEX,2017,104.097839355469,40.2289581298828,104.385032653809,100.659362792969,103.883277893066,106.034690856934,108.219902038574,4.51821994781494,105.770011901855,105.516571044922,104.32096862793
276,61,Mexico,MEX,2018,102.255889892578,41.5228004455566,105.103363037109,100.758712768555,101.897537231445,105.360710144043,109.587608337402,4.25442981719971,105.02806854248,104.70987701416,102.629280090332
277,62,Mexico,MEX,2019,102.465538024902,42.8306999206543,104.647239685059,99.9217834472656,101.713859558105,105.141258239746,109.537399291992,-1,104.655822753906,104.191802978516,103.250343322754
278,63,Mexico,MEX,2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
279,64,"Venezuela, RB",VEN,2005,91.4727783203125,-1,74.5980224609375,70.1218338012695,88.6178665161133,103.167022705078,79.2576293945313,-1,104.176559448242,105.143417358398,94.451789855957
280,65,"Venezuela, RB",VEN,2006,95.2981491088867,-1,77.2879180908203,72.8096694946289,92.4473266601563,102.745063781738,81.9517974853516,3.66905999183655,103.94702911377,105.098182678223,98.273551940918
281,66,"Venezuela, RB",VEN,2007,97.2883987426758,-1,79.8732604980469,75.5600509643555,95.2040023803711,104.368469238281,84.3615417480469,3.62732005119324,105.756271362305,107.08519744873,99.4632415771484
282,67,"Venezuela, RB",VEN,2008,95.0434188842773,79.516471862793,81.6945419311523,77.8267135620117,93.9015121459961,101.662582397461,85.7180404663086,-1,103.02123260498,104.321891784668,96.2349700927734
283,68,"Venezuela, RB",VEN,2009,95.0879669189453,79.3005599975586,82.7038116455078,79.0940170288086,93.8440628051758,101.964149475098,86.4593734741211,6.87468004226685,103.352500915527,104.68115234375,96.3866500854492
284,69,"Venezuela, RB",VEN,2010,93.8769683837891,-1,82.7137298583984,78.9900207519531,92.7808380126953,101.288940429688,86.5900192260742,-1,102.755821228027,104.159240722656,95.0222015380859
285,70,"Venezuela, RB",VEN,2011,95.1751403808594,-1,83.7464294433594,80.0714111328125,93.8264617919922,101.112922668457,87.5756072998047,-1,102.41886138916,103.668113708496,96.5850067138672
286,71,"Venezuela, RB",VEN,2012,96.3213882446289,-1,85.8901062011719,82.1380462646484,94.9501724243164,101.289291381836,89.7974090576172,-1,102.311210632324,103.288459777832,97.7541809082031
287,72,"Venezuela, RB",VEN,2013,96.0586395263672,-1,93.4411392211914,89.4745330810547,94.6544570922852,101.880798339844,97.5720520019531,-1,102.572738647461,103.23388671875,97.5266036987305
288,73,"Venezuela, RB",VEN,2014,96.8364105224609,-1,92.7581024169922,89.3747329711914,95.9642486572266,100.426788330078,96.2830963134766,-1,101.340713500977,102.213256835938,97.7492218017578
289,74,"Venezuela, RB",VEN,2015,96.1170883178711,-1,91.0273208618164,87.7083435058594,95.4526214599609,99.7738494873047,94.4869918823242,1.93017995357513,100.936668395996,102.046669006348,96.8131484985352
290,75,"Venezuela, RB",VEN,2016,94.0507965087891,-1,87.934211730957,84.6500930786133,93.4618682861328,97.7995300292969,91.3587036132813,1.19023001194,98.9773406982422,100.102569580078,94.6676025390625
291,76,"Venezuela, RB",VEN,2017,92.588737487793,-1,88.077018737793,84.7332229614258,92.0978775024414,95.9987182617188,91.564826965332,1.34407997131348,97.1503372192383,98.2506713867188,93.1026611328125
292,77,"Venezuela, RB",VEN,2018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
293,78,"Venezuela, RB",VEN,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
294,79,"Venezuela, RB",VEN,2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
295,80,Australia,AUS,2005,-1,-1,-1,-1,-1,103.575912475586,-1,4.91029977798462,102.739318847656,101.960876464844,-1
296,81,Australia,AUS,2006,-1,-1,-1,-1,-1,103.97981262207,-1,4.75019979476929,103.304046630859,102.672889709473,-1
297,82,Australia,AUS,2007,-1,-1,-1,-1,-1,105.668098449707,-1,4.66089010238647,105.183052062988,104.728523254395,-1
298,83,Australia,AUS,2008,-1,-1,-1,-1,-1,105.487670898438,-1,4.63776016235352,105.141120910645,104.815338134766,-1
299,84,Australia,AUS,2009,-1,-1,-1,-1,-1,105.42822265625,-1,5.08582019805908,105.302131652832,105.18318939209,-1
300,85,Australia,AUS,2010,-1,-1,-1,-1,-1,105.523750305176,-1,5.55005979537964,105.619430541992,105.710029602051,-1
301,86,Australia,AUS,2011,-1,-1,-1,-1,-1,105.540863037109,-1,5.07451009750366,105.689682006836,105.830772399902,-1
