qol_key,qol_id,country,iso,year,"Unemployment, total (% of total labor force)",People using safely managed drinking water services (% of population),"Unemployment, male (% of male labor force)",Maternal leave benefits (% of wages paid in covered period),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),Prevalence of hypertension (% of adults ages 30-79),Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),"Unemployment, female (% of female labor force)",Treatment for hypertension (% of adults ages 30-79 with hypertension),People using at least basic drinking water services (% of population),Risk of impoverishing expenditure for surgical care (% of people at risk)
515,110,Germany,DEU,2019,3.140000105,99.9930255,3.493999958,-1,99.22538453,97.11994168,29.7,-1,2.73300004,62.6,100,0
516,111,Germany,DEU,2020,3.809999943,99.99302783,4.196000099,-1,99.22561915,97.12541087,-1,-1,3.375,-1,100.0000023,0
517,112,Chad,TCD,2005,0.871999979,5.629369492,1.159000039,-1,10.0540648,8.712721622,39.4,-1,0.4950000048,13.5,41.14046577,21.6
518,113,Chad,TCD,2006,0.9100000262,5.622973716,1.202999949,-1,10.09345288,8.735437119,39.6,-1,0.5230000019,14.1,41.45868775,39.2
519,114,Chad,TCD,2007,0.9250000119,5.615456526,1.212000012,-1,10.13347221,8.758663425,39.7,-1,0.5410000086,14.8,41.7757177,60.1
520,115,Chad,TCD,2008,0.9419999719,5.606561025,1.226999998,-1,10.1737152,8.782082065,39.7,-1,0.5600000024,15.5,42.09069088,61.8
521,116,Chad,TCD,2009,0.9589999914,5.59641721,1.238999963,50,10.25719015,8.834288152,39.7,-1,0.5780000091,16.2,42.40402243,57
522,117,Chad,TCD,2010,0.9639999866,5.58746767,1.235999942,-1,10.35163901,8.895495427,39.6,-1,0.5920000076,17,42.72317538,56.1
523,118,Chad,TCD,2011,1,5.579809414,1.276000023,50,10.45771327,8.966240509,39.5,8.687142372,0.6200000048,17.7,43.04789724,58
524,119,Chad,TCD,2012,1.006000042,5.573681701,1.274000049,-1,10.57634299,9.047280285,39.3,-1,0.6340000033,18.5,43.37833546,54.7
525,120,Chad,TCD,2013,1.029000044,5.569050119,1.296000004,50,10.70797494,9.138990094,39.1,-1,0.6560000181,19.3,43.71380254,52.2
526,121,Chad,TCD,2014,1.046000004,5.566019428,1.309000015,-1,10.85331183,9.241946941,38.9,-1,0.6750000119,20.1,44.05402607,51.5
527,122,Chad,TCD,2015,1.07099998,5.564838707,1.332999945,50,11.01336536,9.356973052,38.7,-1,0.6980000138,20.9,44.39909697,52.7
528,123,Chad,TCD,2016,1.103999972,5.565620778,1.368000031,-1,11.18890461,9.484698858,38.5,-1,0.726000011,21.8,44.74869976,55.9
