Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2006-0666-AUS,2006,Natural,Climatological,Wildfire,Forest fire,,AUS,2006,12,2006,12,1,60,67208,74.39638749
2006-9554-AUS,2006,Natural,Climatological,Drought,Drought,,AUS,2006,10,2006,,,,,74.39638749
2006-0660-AUS,2006,Natural,Climatological,Wildfire,,,AUS,2006,11,2006,11,,,,74.39638749
2006-0203-CAN,2006,Natural,Hydrological,Flood,Riverine flood,,CAN,2006,4,2006,4,,200,,74.39638749
2006-0206-CAN,2006,Natural,Hydrological,Flood,Riverine flood,,CAN,2006,4,2006,4,,1000,,74.39638749
2006-0261-CAN,2006,Natural,Hydrological,Flood,Riverine flood,,CAN,2006,5,2006,6,,300,,74.39638749
2006-0269-CAN,2006,Natural,Hydrological,Flood,Riverine flood,,CAN,2006,5,2006,5,1,400,,74.39638749
2006-0419-CHE,2006,Natural,Hydrological,Flood,Riverine flood,,CHE,2006,7,2006,7,,3000,,74.39638749
2006-0124-CHE,2006,Natural,Meteorological,Storm,,,CHE,2006,3,2006,3,1,,,74.39638749
2006-0383-DEU,2006,Natural,Meteorological,Extreme temperature ,Heat wave,,DEU,2006,7,2006,7,2,,,74.39638749
2006-0529-DEU,2006,Technological,Technological,Transport accident,Rail,Transrapid,DEU,2006,9,2006,9,23,10,,74.39638749
2006-0003-DEU,2006,Technological,Technological,Miscellaneous accident,Collapse,Roof of a skating-rink,DEU,2006,1,2006,1,15,18,,74.39638749
2006-0124-DEU,2006,Natural,Meteorological,Storm,,,DEU,2006,3,2006,3,10,200,,74.39638749
2007-0066-CAN,2007,Natural,Meteorological,Storm,Convective storm,,CAN,2007,2,2007,2,2,,,76.5186792
2007-0037-CHE,2007,Natural,Meteorological,Storm,Convective storm,,CHE,2007,1,2007,1,,,,76.5186792
2007-0019-CHE,2007,Natural,Meteorological,Storm,Extra-tropical storm,Kyrill,CHE,2007,1,2007,1,,,130687,76.5186792
2007-0037-DEU,2007,Natural,Meteorological,Storm,Convective storm,,DEU,2007,1,2007,1,7,,,76.5186792
2007-0019-DEU,2007,Natural,Meteorological,Storm,Extra-tropical storm,Kyrill,DEU,2007,1,2007,1,11,130,7187787,76.5186792
2005-0467-USA,2005,Natural,Meteorological,Storm,Tropical cyclone,Katrina,USA,2005,8,2005,9,1833,500000,173439092,72.07141045
2005-0716-USA,2005,Natural,Hydrological,Flood,Riverine flood,,USA,2005,12,2006,1,3,3600,339941,72.07141045
2005-0585-USA,2005,Natural,Meteorological,Storm,Tropical cyclone,"Hurricane ""Wilma""",USA,2005,10,2005,10,4,30000,19841432,72.07141045
